Id;País;2007;2007;2008;2008;2009;2009;2010;2010;2011;2011;2012;2012;2013;2013;2014;2014;2015;2015;2016;2016;2017;2017;2018;2018;2019;2019;2020;2020;2021;2021;Quantidade;Valor
109;Suécia;919;2448;26984;84564;28334;52826;0;0;1641;14476;2705;17280;3195;20183;10404;51057;1412;6404;291;1214;15445;64953;8062;34563;28;761;6;24;23;74;99449;350827
110;Suíça;26090;70716;54384;216317;27653;81319;2025;21600;0;0;4014;47240;2997;29785;27933;231762;15872;85790;4230;33340;6525;74816;0;0;2223;28503;2827;27930;627;6999;177400;956117
111;Suriname;2700;4603;900;1625;3830;12918;1836;1269;3774;3735;396;1288;1800;2960;6;19;453;713;900;1375;3690;5638;0;0;3206;4741;4185;5277;900;1472;28576;47633
112;Tailândia;839;2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;45;128;832;534;1753;1334;2529;2843;7179
113;Taiwan (FORMOSA);6377;11214;10030;18679;0;0;0;0;4500;10600;0;0;0;0;12519;67907;7200;23940;16967;80379;14988;43954;7589;18421;12;67;963;4673;1313;8153;82458;287987
114;Tanzânia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;Tcheca, República;85303;189620;17135;64709;9269;43902;1091;5285;6846;37271;7960;27789;3697;23549;4500;35005;2297;15304;3837;28473;2746;16947;2712;20980;2115;16391;563;4805;456;5988;150527;536018
116;Togo;11;11;5160;7800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1890;2012;7061;9823
117;Trinidade Tobago;0;0;0;0;0;0;0;0;0;0;531;2720;0;0;360;1600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;891;4320
118;Tunísia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;Turquia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;360;150;115;209;0;0;343;878;818;1237
120;Tuvalu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;4
121;Uruguai;0;0;0;0;0;0;914;2929;1238;4404;1135;3879;1526;13343;0;0;0;0;0;0;0;0;7711;29617;6180;18497;0;0;136774;149842;155478;222511
122;Vanuatu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;31;0;0;18;31
123;Venezuela;20700;27370;0;0;0;0;0;0;0;0;1029;7492;0;0;14;232;0;0;0;0;680;2646;71;355;0;0;4086;9808;26415;35944;52995;83847
124;Vietnã;0;0;0;0;743;2143;8820;9977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;32;86;584;0;0;9669;12736
